Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0.96,,0.954,,0.954,,0.952,0.954,,0.972,0.96,,,0.958,,,0.966,,0.954,
0.972,,0.972,,0.954,0.97,0.952,0.974,0.97,0.972,0.96,0.992,,0.958,0.972,0.978,0.966,0.966,0.974,
0.972,0.986,0.972,,0.954,0.97,0.952,0.974,0.974,0.986,0.982,0.992,0.976,0.982,0.972,0.982,0.966,0.976,0.974,
0.976,0.986,0.976,0.984,0.972,0.976,0.952,0.972,0.974,0.986,0.994,0.992,0.976,0.982,0.972,0.982,0.966,0.976,0.984,
0.976,0.99,0.984,0.984,0.972,0.976,0.952,0.972,0.984,0.986,0.994,0.992,0.984,0.982,0.972,0.982,0.992,0.976,0.984,0.988
0.98,0.99,0.982,0.984,0.98,0.98,0.978,0.972,0.984,0.986,0.994,0.996,0.984,0.988,0.972,0.984,0.992,0.982,0.984,0.988
0.98,0.99,0.982,0.984,0.976,0.98,0.978,0.978,0.986,0.996,0.996,0.996,0.99,0.988,0.982,0.984,0.994,0.984,0.99,0.988
0.98,0.99,0.984,0.984,0.976,0.98,0.976,0.976,0.986,0.996,0.996,0.996,0.99,0.988,0.982,0.984,0.994,0.984,0.99,0.988
0.978,0.988,0.984,0.984,0.984,0.98,0.978,0.976,0.986,0.996,0.994,0.996,0.992,0.992,0.986,0.986,0.996,0.984,0.99,0.988
0.978,0.988,0.988,0.984,0.984,0.988,0.978,0.976,0.986,0.996,0.994,0.996,0.992,0.992,0.986,0.986,0.994,0.988,0.992,0.988
0.98,0.988,0.988,0.986,0.984,0.988,0.976,0.976,0.986,0.996,0.994,0.996,0.992,0.992,0.986,0.986,0.994,0.988,0.992,0.992
0.98,0.988,0.99,0.986,0.984,0.988,0.976,0.978,0.988,0.996,0.994,0.992,0.992,0.996,0.986,0.986,0.994,0.988,0.992,0.992
0.98,0.988,0.99,0.986,0.992,0.988,0.976,0.984,0.988,0.996,0.994,0.994,0.992,0.994,0.988,0.988,0.998,0.988,0.994,0.992
0.98,0.99,0.99,0.986,0.988,0.988,0.976,0.984,0.988,0.996,0.994,0.994,0.994,0.994,0.988,0.988,0.998,0.988,0.994,0.992
0.98,0.99,0.99,0.984,0.988,0.984,0.976,0.984,0.988,0.996,0.996,0.99,0.994,0.994,0.988,0.99,0.998,0.988,0.994,0.992
0.978,0.99,0.99,0.982,0.99,0.986,0.976,0.982,0.988,0.996,0.996,0.99,0.992,0.994,0.988,0.99,0.996,0.986,0.994,0.992
0.978,0.99,0.99,0.982,0.99,0.986,0.976,0.982,0.988,0.996,0.994,0.99,0.998,0.994,0.986,0.99,0.996,0.986,0.99,0.992
0.98,0.99,0.99,0.984,0.988,0.986,0.978,0.984,0.988,0.996,0.994,0.992,0.998,0.994,0.986,0.99,0.996,0.992,0.99,0.992
0.98,0.99,0.988,0.984,0.988,0.986,0.978,0.984,0.988,0.996,0.994,0.992,0.996,0.994,0.986,0.99,0.996,0.992,0.99,0.992
0.98,0.99,0.994,0.984,0.988,0.986,0.978,0.984,0.988,0.996,0.994,0.992,0.996,0.996,0.986,0.99,0.996,0.992,0.99,0.992
0.982,0.99,0.992,0.984,0.988,0.986,0.978,0.986,0.988,0.996,0.992,0.998,0.996,0.996,0.986,0.99,0.996,0.986,0.99,0.99
0.982,0.99,0.99,0.984,0.988,0.986,0.978,0.986,0.99,0.996,0.992,0.998,1.0,0.996,0.992,0.99,0.996,0.986,0.994,0.992
0.982,0.992,0.99,0.984,0.988,0.986,0.978,0.984,0.99,0.996,0.992,0.994,1.0,0.996,0.992,0.99,0.998,0.988,0.994,0.992
0.982,0.992,0.992,0.984,0.988,0.986,0.98,0.984,0.986,0.996,0.994,0.994,0.996,0.994,0.994,0.99,0.998,0.99,0.994,0.992
0.982,0.99,0.992,0.986,0.99,0.986,0.98,0.984,0.986,0.996,0.994,0.996,0.996,0.996,0.994,0.99,0.998,0.99,0.994,0.992
0.982,0.99,0.992,0.986,0.99,0.986,0.98,0.984,0.986,0.996,0.994,0.996,0.996,0.996,0.988,0.99,0.998,0.986,0.994,0.99
0.982,0.99,0.99,0.986,0.988,0.988,0.98,0.984,0.992,0.996,0.994,0.996,1.0,0.996,0.988,0.99,0.998,0.986,0.994,0.992
0.982,0.988,0.99,0.984,0.988,0.988,0.98,0.984,0.992,0.996,0.994,0.994,0.998,0.996,0.988,0.99,0.998,0.988,0.994,0.992
0.98,0.988,0.992,0.984,0.99,0.988,0.982,0.984,0.99,0.996,0.992,0.994,0.998,0.996,0.988,0.99,0.998,0.988,0.992,0.992
0.98,0.992,0.992,0.988,0.99,0.988,0.982,0.984,0.99,0.996,0.992,0.996,1.0,0.996,0.988,0.99,0.998,0.99,0.992,0.992
0.982,0.992,0.992,0.988,0.99,0.988,0.982,0.986,0.99,0.996,0.992,0.996,1.0,0.998,0.988,0.99,0.998,0.99,0.992,0.992
0.982,0.992,0.992,0.984,0.99,0.986,0.982,0.986,0.99,0.996,0.994,0.996,0.996,0.998,0.99,0.99,0.998,0.99,0.992,0.992
0.982,0.988,0.994,0.984,0.99,0.986,0.982,0.984,0.99,0.996,0.994,0.996,0.996,0.998,0.99,0.99,0.998,0.994,0.992,0.994
0.982,0.988,0.994,0.984,0.99,0.986,0.984,0.984,0.99,0.996,0.996,0.996,0.998,0.998,0.99,0.99,0.996,0.994,0.992,0.994
0.982,0.988,0.994,0.984,0.984,0.986,0.984,0.984,0.992,0.996,0.996,0.996,0.998,0.996,0.99,0.99,0.996,0.994,0.992,0.994
0.976,0.988,0.994,0.986,0.984,0.988,0.98,0.98,0.992,0.996,0.996,0.996,0.998,0.996,0.99,0.99,0.996,0.992,0.992,0.994
0.976,0.99,0.994,0.986,0.99,0.986,0.98,0.98,0.992,0.996,0.996,0.996,0.998,0.998,0.988,0.99,0.996,0.992,0.992,0.99
0.982,0.99,0.994,0.986,0.988,0.986,0.98,0.98,0.992,0.996,0.996,0.996,0.998,0.998,0.988,0.99,0.996,0.992,0.994,0.992
0.982,0.99,0.994,0.986,0.988,0.99,0.98,0.98,0.992,0.996,0.992,0.996,0.998,0.998,0.988,0.99,0.998,0.992,0.994,0.992
0.982,0.996,0.994,0.984,0.986,0.99,0.982,0.98,0.992,0.996,0.992,0.996,0.998,0.998,0.988,0.99,0.998,0.99,0.994,0.992
0.982,0.996,0.994,0.984,0.986,0.99,0.982,0.98,0.99,0.994,0.992,0.996,0.998,0.998,0.988,0.99,0.998,0.99,0.994,0.992
0.982,0.996,0.994,0.986,0.986,0.986,0.98,0.98,0.99,0.994,0.992,0.994,0.998,0.998,0.988,0.99,0.996,0.99,0.994,0.992
0.982,0.99,0.992,0.986,0.986,0.986,0.98,0.98,0.99,0.996,0.992,0.994,0.996,0.998,0.99,0.99,0.996,0.99,0.994,0.992
0.984,0.988,0.992,0.986,0.986,0.986,0.98,0.986,0.99,0.996,0.992,0.994,0.996,0.998,0.99,0.99,0.998,0.99,0.992,0.992
0.982,0.99,0.992,0.986,0.986,0.986,0.984,0.986,0.99,0.996,0.992,0.994,0.998,0.998,0.99,0.99,0.998,0.99,0.992,0.992
0.982,0.99,0.992,0.984,0.992,0.986,0.98,0.986,0.99,0.996,0.992,0.994,0.998,0.998,0.99,0.99,0.996,0.99,0.992,0.992
0.982,0.99,0.992,0.984,0.99,0.986,0.98,0.986,0.99,0.996,0.992,0.994,0.998,0.998,0.99,0.99,0.996,0.992,0.992,0.992
0.978,0.99,0.992,0.984,0.99,0.988,0.978,0.986,0.99,0.996,0.992,0.996,0.998,0.998,0.99,0.99,0.996,0.992,0.992,0.992
0.978,0.99,0.992,0.984,0.99,0.988,0.978,0.986,0.99,0.996,0.992,0.996,0.998,0.996,0.99,0.99,0.998,0.992,0.992,0.99
0.98,0.99,0.994,0.984,0.988,0.986,0.982,0.986,0.99,0.996,0.992,0.996,0.998,0.998,0.992,0.99,0.998,0.992,0.99,0.99
